pdb_id,attach_atom_index,attach_atom_name,attach_element,num_attached_H,degree,sasa_A2,min_dist_to_protein_A,clash_margin_A,growability_geom_status,growability_status,cone_height_A,cone_height_clear_A,cone_height_total_A,cone_half_angle_deg,cone_tip_x,cone_tip_y,cone_tip_z,cone_dir_x,cone_dir_y,cone_dir_z,cone_status,cone_reason,cone_n_accept_dirs,topo_eccentricity,topo_diameter,topo_center_score,G_total_corr_kcal,Kd_fold_from_G_total,linkerability
5L2I,20,N04,N,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,8,16,0.5,,,Not accessible
5L2I,30,N07,N,1,3,27.99283913,4.658052,1.4580519,ok,TRUE,1.0258769,2.2,3.2258768,65,10.30384678,32.1086154,15.11740075,-0.838655796,0.515070819,0.177083333,ok,,1,16,16,0,0.076023592,1.136908935,low rigidification
5L2S,23,C25,C,3,4,10.29245393,3.8047268,0.6047268,ok,TRUE,9.379747,6.7,16.079748,13.2,25.85749656,32.47676472,0.064238777,-0.461885608,0.777342596,-0.427083333,ok,,1,20,20,0,7.271007548,213641.4513,high rigidification
5L2S,24,C27,C,3,4,12.09227227,4.128942,0.92894197,ok,TRUE,6.7709036,6.2,12.970903,18,23.54859347,34.11684502,-2.10286914,-0.461885608,0.777342596,-0.427083333,ok,,3,20,20,0,5.920503176,21865.47646,high rigidification
5L2S,25,C28,C,3,4,3.192547777,3.9052806,0.70528054,ok,TRUE,5.731196,7.7,13.431196,21,25.88357314,36.00738346,-5.961991777,-0.747995935,0.610479517,-0.260416667,ok,,2,20,20,0,5.102229018,5494.900399,modest rigidification
5L2S,2,C3,C,3,4,59.33394635,5.794292,2.594292,ok,TRUE,0.69365734,2.2,2.8936574,72.5,18.99025488,43.95782029,-13.20622427,-0.620857018,0.783854614,0.010416667,ok,,3,20,20,0,0.069509918,1.124478416,low rigidification
5L2S,0,C1,C,2,4,23.13770059,6.075289,2.8752887,ok,TRUE,1.0258769,2.2,3.2258768,65,18.59251013,42.43918437,-13.69089438,-0.620857018,0.783854614,0.010416667,ok,,2,19,20,0.05,0.076023592,1.136908935,low rigidification
5L2S,26,C14,C,2,4,1.56629472,2.8346918,-0.36530828,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,14,20,0.3,,,Not accessible
5L2S,19,C31,C,2,4,8.58363065,3.9679189,0.7679188,ok,TRUE,2.2,2.2,4.4,45,18.19892934,38.40710559,-12.93509228,-0.102460912,0.988115591,0.114583333,ok,,1,16,20,0.2,0.077894386,1.140504442,low rigidification
5L2S,21,C32,C,2,4,34.19667267,5.184978,1.984978,ok,TRUE,0.69365734,2.2,2.8936574,72.5,18.33844442,41.12764681,-15.16630647,-0.310448372,0.937660784,-0.15625,ok,,2,17,20,0.15,0.069509918,1.124478416,low rigidification
