pdb_id,attach_atom_index,attach_atom_name,attach_element,num_attached_H,degree,sasa_A2,min_dist_to_protein_A,clash_margin_A,growability_geom_status,growability_status,cone_height_A,cone_height_clear_A,cone_height_total_A,cone_half_angle_deg,cone_tip_x,cone_tip_y,cone_tip_z,cone_dir_x,cone_dir_y,cone_dir_z,cone_status,cone_reason,cone_n_accept_dirs,topo_eccentricity,topo_diameter,topo_center_score,G_total_corr_kcal,Kd_fold_from_G_total,linkerability
8PWC,11,C26,C,2,4,9.101218197,4.408182,1.2081821,ok,TRUE,1.0258769,2.2,3.2258768,65,33.07044092,-31.82765904,-4.332997884,0.958069676,0.054780777,-0.28125,ok,,1,8,14,0.428571429,0.076023592,1.136908935,low rigidification
8PWC,28,C39,C,2,4,15.92314588,4.7861056,1.5861056,ok,TRUE,1.4015546,2.2,3.6015546,57.5,33.70203757,-33.81133503,-2.170825109,0.958069676,0.054780777,-0.28125,ok,,1,12,14,0.142857143,0.077361813,1.139479726,low rigidification
8PWC,29,C40,C,2,4,0.108993246,2.8468747,-0.35312533,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,12,14,0.142857143,,,Not accessible
8PWC,15,C16,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,12,14,0.142857143,,,Not accessible
8PWC,8,C17,C,1,3,10.98279382,4.4180317,1.2180316,ok,TRUE,1.8460191,2.2,4.046019,50,35.01362495,-24.86676224,1.360423689,0.855962612,-0.25826085,-0.447916667,ok,,1,11,14,0.214285714,0.077370484,1.139496402,low rigidification
8PWC,16,C18,C,1,3,7.416080636,4.564862,1.3648617,ok,TRUE,1.4015546,2.2,3.6015546,57.5,34.74923962,-27.36255417,-0.284710443,0.855962612,-0.25826085,-0.447916667,ok,,1,10,14,0.285714286,0.077361813,1.139479726,low rigidification
8PWC,17,C2,C,1,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,8,14,0.428571429,,,Not accessible
8PWC,18,C23,C,1,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,11,14,0.214285714,,,Not accessible
8PWC,10,C24,C,1,4,6.204871152,4.4984994,1.2984993,ok,TRUE,1.0258769,2.2,3.2258768,65,34.64954737,-28.37728846,-1.420066255,0.693228282,-0.053225804,-0.71875,ok,,1,7,14,0.5,0.076023592,1.136908935,low rigidification
8PWC,19,C25,C,1,4,5.998260454,5.8783116,2.6783116,ok,TRUE,1.0258769,2.2,3.2258768,65,34.30269918,-31.50410573,-1.905619273,0.802793551,0.225225458,-0.552083333,ok,,1,8,14,0.428571429,0.076023592,1.136908935,low rigidification
8PWC,20,C3,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,12,14,0.142857143,,,Not accessible
8PWC,23,C32,C,1,3,7.998095033,3.2833943,0.08339429,ok,TRUE,3.0280402,2.2,5.22804,36,29.22463285,-30.65968356,-8.485011326,0.903917308,-0.023093866,0.427083333,ok,,1,11,14,0.214285714,0.078229141,1.141149011,low rigidification
8PWC,24,C33,C,1,3,6.324985782,2.648339,-0.551661,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,12,14,0.142857143,,,Not accessible
8PWC,1,C5,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,12,14,0.142857143,,,Not accessible
8PWC,2,C6,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,11,14,0.214285714,,,Not accessible
8PWC,35,N9,N,1,3,0.140559477,1.6781057,-1.5218943,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,11,14,0.214285714,,,Not accessible
8PWC,37,O37,O,1,2,26.77008516,4.3082333,1.1082332,ok,TRUE,0.69365734,2.2,2.8936574,72.5,33.06892469,-23.49509624,-9.033341576,0.859221236,-0.479979542,-0.177083333,ok,,1,14,14,0,0.069509918,1.124478416,low rigidification
8VA6,0,C1,C,3,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,23,25,0.08,,,Not accessible
8VA6,18,C14,C,3,4,3.473360527,3.580295,0.38029504,ok,TRUE,1.8460191,2.2,4.046019,50,13.0629256,23.79807139,-12.95323226,-0.052167923,0.134176504,0.989583333,ok,,2,20,25,0.2,0.077370484,1.139496402,low rigidification
8VA6,26,C19,C,3,4,52.20468676,5.007629,1.8076289,ok,TRUE,1.0258769,2.2,3.2258768,65,18.3814188,23.62183053,-8.905145029,-0.052167923,0.134176504,0.989583333,ok,,3,25,25,0,0.076023592,1.136908935,low rigidification
8VA6,33,C24,C,3,4,1.091044574,4.4611998,1.2611997,ok,TRUE,2.7167737,2.7,5.416774,39,15.37764315,14.55843707,-13.41212238,-0.011740118,0.568040781,0.822916667,ok,,3,15,25,0.4,0.096873737,1.177630221,low rigidification
8VA6,16,C12,C,2,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,18,25,0.28,,,Not accessible
8VA6,20,C15,C,2,4,3.495145988,5.168528,1.968528,ok,TRUE,1.8460191,2.2,4.046019,50,13.89576979,21.07231172,-11.60313053,0.194616873,0.320375976,0.927083333,ok,,2,21,25,0.16,0.077370484,1.139496402,low rigidification
8VA6,21,C16,C,2,4,11.01027809,5.8028564,2.6028564,ok,TRUE,1.4015546,2.2,3.6015546,57.5,17.48473326,22.46021486,-10.11910205,-0.354304823,-0.403179898,0.84375,ok,,2,22,25,0.12,0.077361813,1.139479726,low rigidification
8VA6,23,C17,C,2,4,3.570564792,3.4335501,0.23355007,ok,TRUE,1.4015546,2.7,4.1015544,57.5,16.57497676,25.94147693,-11.94904965,-0.305823754,-0.0890271,0.947916667,ok,,2,22,25,0.12,0.094635498,1.173189862,low rigidification
