cone_half_angle_deg,cone_depth,n_carbons,require_endpoint_above_mouth,r_bead,r_origin,entropy_frac_target,step_max_deg,ref_cone_half_angle_deg,ref_cone_depth,K_feasible,S_conf_cal_per_mol_K,minusT_S_conf_kcal,n_kept,entropy_frac_achieved,dG_vib_mean_kcal,dG_vib_total_kcal_raw,G_total_kcal_raw,lambda_min_mean_rad,lambda_mean_mean_rad,V_ref_fixed,K_feasible_ref,dG_vib_total_ref_kcal,G_total_ref_kcal,dG_vib_corr_kcal,G_total_corr_kcal,Kd_fold_from_dG_vib,Kd_fold_from_G_total,status
9.6,2.2,8,False,1.4,2.2,0.8,90.0,89.9,0.1,261,8.760596334569023,-2.611971797151754,115,0.8855879608370865,1.9857230024277097,0.9644975220434288,-0.27931238830872285,0.18682848521518106,0.9836538124706593,23.596040842006182,579,1.0143254366963046,-0.35754152929181515,-0.04982791465287584,0.0782291409830923,0.919339425565622,1.1411490112081966,ok
9.6,2.7,8,False,1.4,2.2,0.8,90.0,89.9,0.1,261,8.760596334569023,-2.611971797151754,115,0.8855879608370865,2.1071339455863365,0.983236352512565,-0.2605735578395866,0.18682848521518106,0.9538998614867454,23.596040842006182,579,1.0143254366963046,-0.35754152929181515,-0.031089084183739568,0.09696797145222857,0.9488805467622591,1.177817536788706,ok
9.6,3.2,8,False,1.4,2.2,0.8,90.0,89.9,0.1,261,8.760596334569023,-2.611971797151754,115,0.8855879608370865,2.432602399301812,1.0962355837422035,-0.14757432660994785,0.17319310043397537,0.9032604137806138,23.596040842006182,579,1.0143254366963046,-0.35754152929181515,0.08191014704589894,0.2099672026818673,1.1482608411765434,1.4253024368138272,ok
9.6,3.7,8,False,1.4,2.2,0.8,90.0,89.9,0.1,153,7.933089935209501,-2.3652507641827127,87,0.9205946064209151,2.5348613296172213,1.626438733156018,0.508413419323521,0.17918776345232737,0.8528184018124002,23.596040842006182,579,1.0143254366963046,-0.35754152929181515,0.6121132964597134,0.8659549486153362,2.80984368373861,4.312701326110908,ok
9.6,4.2,8,False,1.4,2.2,0.8,90.0,89.9,0.1,102,7.564578996870781,-2.255379227917023,50,0.8577449583430493,42.864790933806006,42.770334693135624,42.31674585309256,0.0,0.4448781540563553,23.596040842006182,579,1.0143254366963046,-0.35754152929181515,41.75600925643932,42.67428738238438,4.049181024901207e+30,1.9075227686559313e+31,ok
9.6,4.7,8,False,1.4,2.2,0.8,90.0,89.9,0.1,102,7.564578996870781,-2.255379227917023,50,0.8577449583430493,43.0025452129258,42.91552811334944,42.461939273306385,0.0,0.4163837450636785,23.596040842006182,579,1.0143254366963046,-0.35754152929181515,41.901202676653135,42.8194808025982,5.17362216555406e+30,2.437234101544842e+31,ok
9.6,5.2,8,False,1.4,2.2,0.8,90.0,89.9,0.1,102,7.564578996870781,-2.255379227917023,50,0.8577449583430493,43.04540515618082,42.951781060848546,42.498192220805485,0.0,0.4058258666275909,23.596040842006182,579,1.0143254366963046,-0.35754152929181515,41.93745562415224,42.8557337500973,5.500071097952708e+30,2.5910204518028907e+31,ok
9.6,5.7,8,False,1.4,2.2,0.8,90.0,89.9,0.1,66,6.755452575061688,-2.0141381852546423,38,0.8965298046289835,43.219699971225175,43.14459356461269,42.815658147280175,0.0,0.3667484326786827,23.596040842006182,579,1.0143254366963046,-0.35754152929181515,42.13026812791639,43.17319967657199,7.61554256107261e+30,4.427667300046867e+31,ok
9.6,6.2,8,False,1.4,2.2,0.8,90.0,89.9,0.1,18,4.869296962565694,-1.4517808893889617,18,0.9999999999999998,43.77129686205259,43.750768918207946,44.44521488753294,0.0,0.29221993124601936,23.596040842006182,579,1.0143254366963046,-0.35754152929181515,42.73644348151164,44.80275641682476,2.118509751230197e+31,6.92864579579904e+32,ok
9.6,6.7,8,False,1.4,2.2,0.8,90.0,89.9,0.1,18,4.869296962565694,-1.4517808893889617,18,0.9999999999999998,43.891195874417,43.883666414562775,44.57811238388777,0.0,0.27737326978341653,23.596040842006182,579,1.0143254366963046,-0.35754152929181515,42.86934097786647,44.935653913179586,2.6512153661560232e+31,8.670874509691476e+32,ok
